NEIGHBOURHOOD,YEAR,Total_Yearly_Crime_Count_per_Neighbourhood
Riley Park,2010,790
Riley Park,2011,834
Shaughnessy,1999,518
Shaughnessy,2000,545
Shaughnessy,2001,555
Shaughnessy,2002,336
Shaughnessy,2003,334
Shaughnessy,2004,270
Shaughnessy,2005,239
Shaughnessy,2006,256
Shaughnessy,2007,350
Shaughnessy,2008,349
Shaughnessy,2009,275
Shaughnessy,2010,376
Shaughnessy,2011,370
South Cambie,1999,527
South Cambie,2000,468
South Cambie,2001,452
South Cambie,2002,348
South Cambie,2003,285
South Cambie,2004,266
South Cambie,2005,324
South Cambie,2006,294
South Cambie,2007,274
South Cambie,2008,299
South Cambie,2009,272
South Cambie,2010,435
South Cambie,2011,414
Stanley Park,1999,423
Stanley Park,2000,381
Stanley Park,2001,371
Stanley Park,2002,333
Stanley Park,2003,223
Stanley Park,2004,282
Stanley Park,2005,266
Stanley Park,2006,191
Stanley Park,2007,170
Stanley Park,2008,196
Stanley Park,2009,277
Stanley Park,2010,206
Stanley Park,2011,213
Strathcona,1999,1797
Strathcona,2000,1766
Strathcona,2001,1670
Strathcona,2002,1504
Strathcona,2003,1459
Strathcona,2004,1375
Strathcona,2005,1201
Strathcona,2006,1147
Strathcona,2007,1101
Strathcona,2008,1214
Strathcona,2009,1107
Strathcona,2010,1443
Strathcona,2011,1497
Sunset,1999,1912
Sunset,2000,1824
Sunset,2001,1694
Sunset,2002,1658
Sunset,2003,1391
Sunset,2004,1105
Sunset,2005,1060
Sunset,2006,1055
Sunset,2007,812
Sunset,2008,980
Sunset,2009,860
Sunset,2010,816
Sunset,2011,824
Victoria-Fraserview,1999,1098
Victoria-Fraserview,2000,1262
Victoria-Fraserview,2001,1146
Victoria-Fraserview,2002,907
Victoria-Fraserview,2003,671
Victoria-Fraserview,2004,618
Victoria-Fraserview,2005,622
Victoria-Fraserview,2006,603
Victoria-Fraserview,2007,657
Victoria-Fraserview,2008,556
Victoria-Fraserview,2009,548
Victoria-Fraserview,2010,608
Victoria-Fraserview,2011,587
West End,1999,4772
West End,2000,4121
West End,2001,3306
West End,2002,3319
West End,2003,3012
West End,2004,2996
West End,2005,2381
West End,2006,2142
West End,2007,1934
West End,2008,1893
West End,2009,2087
West End,2010,2415
West End,2011,2576
West Point Grey,1999,551
West Point Grey,2000,651
West Point Grey,2001,616
West Point Grey,2002,457
West Point Grey,2003,367
West Point Grey,2004,290
West Point Grey,2005,364
West Point Grey,2006,331
West Point Grey,2007,317
West Point Grey,2008,311
West Point Grey,2009,279
West Point Grey,2010,365
West Point Grey,2011,363
