TYPE,YEAR,MONTH,Monthly_Crime_Count_Type_wise,is_summer,is_holiday_season,is_spring,quarter,month_sin,month_cos,month_sq,summer_peak,holiday_peak
Break and Enter Commercial,2003,8,246,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2003,9,216,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2003,10,172,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2003,11,178,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2003,12,151,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2004,1,201,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2004,2,192,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2004,3,243,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2004,4,186,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2004,5,196,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2004,6,173,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2004,7,188,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2004,8,201,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2004,9,159,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2004,10,179,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2004,11,139,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2004,12,167,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2005,1,179,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2005,2,152,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2005,3,151,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2005,4,136,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2005,5,185,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2005,6,154,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2005,7,142,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2005,8,157,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2005,9,152,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2005,10,167,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2005,11,155,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2005,12,128,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2006,1,126,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2006,2,109,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2006,3,159,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2006,4,143,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2006,5,139,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2006,6,132,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2006,7,122,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2006,8,174,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2006,9,150,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2006,10,150,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2006,11,110,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2006,12,142,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2007,1,149,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2007,2,143,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2007,3,139,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2007,4,118,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2007,5,124,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2007,6,303,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2007,7,146,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2007,8,150,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2007,9,139,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2007,10,122,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2007,11,92,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2007,12,124,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2008,1,156,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2008,2,118,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2008,3,165,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2008,4,155,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2008,5,133,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2008,6,136,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2008,7,105,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2008,8,114,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2008,9,122,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2008,10,145,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2008,11,172,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2008,12,166,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2009,1,136,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2009,2,155,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2009,3,195,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2009,4,177,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2009,5,116,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2009,6,153,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2009,7,134,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2009,8,122,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2009,9,117,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2009,10,137,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2009,11,152,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2009,12,180,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2010,1,185,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2010,2,163,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2010,3,184,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2010,4,199,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2010,5,195,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2010,6,168,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2010,7,160,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2010,8,170,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2010,9,213,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2010,10,200,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2010,11,205,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2010,12,202,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2011,1,228,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2011,2,187,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2011,3,192,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2011,4,179,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2011,5,188,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2011,6,212,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2011,7,215,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2011,8,200,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2011,9,189,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2011,10,234,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2011,11,206,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2011,12,227,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,1999,1,644,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,1999,2,507,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,1999,3,515,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,1999,4,608,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,1999,5,565,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,1999,6,531,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,1999,7,535,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,1999,8,502,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,1999,9,631,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,1999,10,642,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,1999,11,615,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,1999,12,588,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2000,1,584,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2000,2,524,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2000,3,542,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2000,4,553,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2000,5,559,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2000,6,516,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2000,7,435,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2000,8,517,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2000,9,563,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2000,10,612,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2000,11,580,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2000,12,553,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2001,1,554,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2001,2,430,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2001,3,491,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2001,4,469,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2001,5,524,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2001,6,483,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2001,7,430,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2001,8,429,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2001,9,455,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2001,10,476,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2001,11,406,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2001,12,395,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2002,1,482,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2002,2,400,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2002,3,466,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2002,4,391,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2002,5,404,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2002,6,462,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2002,7,492,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2002,8,436,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2002,9,488,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2002,10,600,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2002,11,510,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2002,12,543,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2003,1,486,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2003,2,381,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2003,3,397,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2003,4,408,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2003,5,414,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2003,6,456,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2003,7,436,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2003,8,455,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2003,9,365,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2003,10,386,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2003,11,454,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2003,12,358,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2004,1,432,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2004,2,404,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2004,3,375,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2004,4,337,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2004,5,368,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2004,6,378,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2004,7,364,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2004,8,353,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2004,9,385,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2004,10,376,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2004,11,321,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2004,12,339,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2005,1,370,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2005,2,317,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2005,3,267,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2005,4,256,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2005,5,263,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2005,6,224,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2005,7,230,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2005,8,285,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2005,9,325,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2005,10,338,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2005,11,339,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2005,12,283,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2006,1,255,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2006,2,246,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2006,3,302,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2006,4,316,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2006,5,274,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2006,6,276,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2006,7,243,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2006,8,275,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2006,9,221,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2006,10,282,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2006,11,301,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
