unique_id,ds,XGBRegressor
Theft from Vehicle,2013-02-01,831.25226
Theft from Vehicle,2013-03-01,860.9101
Theft from Vehicle,2013-04-01,856.0052
Theft from Vehicle,2013-05-01,863.4314
Theft from Vehicle,2013-06-01,921.59735
Theft from Vehicle,2013-07-01,952.6302
Theft from Vehicle,2013-08-01,990.55304
Theft from Vehicle,2013-09-01,1029.5564
Theft from Vehicle,2013-10-01,1133.7649
Theft from Vehicle,2013-11-01,1135.9392
Theft from Vehicle,2013-12-01,1137.6321
Theft of Bicycle,2012-01-01,158.0894
Theft of Bicycle,2012-02-01,162.32396
Theft of Bicycle,2012-03-01,198.6095
Theft of Bicycle,2012-04-01,253.67622
Theft of Bicycle,2012-05-01,317.63214
Theft of Bicycle,2012-06-01,379.63824
Theft of Bicycle,2012-07-01,391.74548
Theft of Bicycle,2012-08-01,411.76486
Theft of Bicycle,2012-09-01,321.32285
Theft of Bicycle,2012-10-01,259.5359
Theft of Bicycle,2012-11-01,197.81221
Theft of Bicycle,2012-12-01,158.98206
Theft of Bicycle,2013-01-01,162.7114
Theft of Bicycle,2013-02-01,168.42053
Theft of Bicycle,2013-03-01,260.09283
Theft of Bicycle,2013-04-01,290.76675
Theft of Bicycle,2013-05-01,342.26874
Theft of Bicycle,2013-06-01,429.10974
Theft of Bicycle,2013-07-01,544.68756
Theft of Bicycle,2013-08-01,551.5434
Theft of Bicycle,2013-09-01,450.70435
Theft of Bicycle,2013-10-01,384.97592
Theft of Bicycle,2013-11-01,336.44235
Theft of Bicycle,2013-12-01,198.61716
Theft of Vehicle,2012-01-01,134.27316
Theft of Vehicle,2012-02-01,111.82554
Theft of Vehicle,2012-03-01,127.49409
Theft of Vehicle,2012-04-01,116.766075
Theft of Vehicle,2012-05-01,120.464325
Theft of Vehicle,2012-06-01,122.8828
Theft of Vehicle,2012-07-01,137.94955
Theft of Vehicle,2012-08-01,141.70483
Theft of Vehicle,2012-09-01,130.50545
Theft of Vehicle,2012-10-01,131.30159
Theft of Vehicle,2012-11-01,123.99468
Theft of Vehicle,2012-12-01,132.387
Theft of Vehicle,2013-01-01,123.755745
Theft of Vehicle,2013-02-01,96.732635
Theft of Vehicle,2013-03-01,121.55459
Theft of Vehicle,2013-04-01,114.554146
Theft of Vehicle,2013-05-01,151.59904
Theft of Vehicle,2013-06-01,162.67508
Theft of Vehicle,2013-07-01,170.93134
Theft of Vehicle,2013-08-01,180.55754
Theft of Vehicle,2013-09-01,185.21341
Theft of Vehicle,2013-10-01,188.49313
Theft of Vehicle,2013-11-01,172.27435
Theft of Vehicle,2013-12-01,166.64095
Vehicle Collision or Pedestrian Struck (with Injury),2012-01-01,145.3226
Vehicle Collision or Pedestrian Struck (with Injury),2012-02-01,135.22847
Vehicle Collision or Pedestrian Struck (with Injury),2012-03-01,140.4749
Vehicle Collision or Pedestrian Struck (with Injury),2012-04-01,132.0384
Vehicle Collision or Pedestrian Struck (with Injury),2012-05-01,158.1528
Vehicle Collision or Pedestrian Struck (with Injury),2012-06-01,168.09239
Vehicle Collision or Pedestrian Struck (with Injury),2012-07-01,159.25597
Vehicle Collision or Pedestrian Struck (with Injury),2012-08-01,158.94902
Vehicle Collision or Pedestrian Struck (with Injury),2012-09-01,167.24103
Vehicle Collision or Pedestrian Struck (with Injury),2012-10-01,174.85599
Vehicle Collision or Pedestrian Struck (with Injury),2012-11-01,175.89684
Vehicle Collision or Pedestrian Struck (with Injury),2012-12-01,165.0792
Vehicle Collision or Pedestrian Struck (with Injury),2013-01-01,171.45308
Vehicle Collision or Pedestrian Struck (with Injury),2013-02-01,154.8283
Vehicle Collision or Pedestrian Struck (with Injury),2013-03-01,158.94472
Vehicle Collision or Pedestrian Struck (with Injury),2013-04-01,162.34653
Vehicle Collision or Pedestrian Struck (with Injury),2013-05-01,155.83626
Vehicle Collision or Pedestrian Struck (with Injury),2013-06-01,209.06863
Vehicle Collision or Pedestrian Struck (with Injury),2013-07-01,231.51204
Vehicle Collision or Pedestrian Struck (with Injury),2013-08-01,246.16527
Vehicle Collision or Pedestrian Struck (with Injury),2013-09-01,249.69157
Vehicle Collision or Pedestrian Struck (with Injury),2013-10-01,240.4671
Vehicle Collision or Pedestrian Struck (with Injury),2013-11-01,231.15509
Vehicle Collision or Pedestrian Struck (with Injury),2013-12-01,239.57143
