unique_id,ds,LGBMRegressor
Theft from Vehicle,2/1/2013,980.7246
Theft from Vehicle,3/1/2013,1005.1808
Theft from Vehicle,4/1/2013,945.6384
Theft from Vehicle,5/1/2013,960.2531
Theft from Vehicle,6/1/2013,982.6022
Theft from Vehicle,7/1/2013,996.4997
Theft from Vehicle,8/1/2013,1014.01245
Theft from Vehicle,9/1/2013,1020.4645
Theft from Vehicle,10/1/2013,1051.3898
Theft from Vehicle,11/1/2013,1088.7607
Theft from Vehicle,12/1/2013,1035.3945
Theft of Bicycle,1/1/2012,132.92206
Theft of Bicycle,2/1/2012,93.43965
Theft of Bicycle,3/1/2012,140.11398
Theft of Bicycle,4/1/2012,206.64949
Theft of Bicycle,5/1/2012,226.20996
Theft of Bicycle,6/1/2012,268.03256
Theft of Bicycle,7/1/2012,324.9523
Theft of Bicycle,8/1/2012,358.32993
Theft of Bicycle,9/1/2012,260.94327
Theft of Bicycle,10/1/2012,203.62094
Theft of Bicycle,11/1/2012,145.87381
Theft of Bicycle,12/1/2012,127.499695
Theft of Bicycle,1/1/2013,64.22247
Theft of Bicycle,2/1/2013,79.421165
Theft of Bicycle,3/1/2013,103.00479
Theft of Bicycle,4/1/2013,189.67319
Theft of Bicycle,5/1/2013,266.79007
Theft of Bicycle,6/1/2013,336.36853
Theft of Bicycle,7/1/2013,432.06378
Theft of Bicycle,8/1/2013,432.97583
Theft of Bicycle,9/1/2013,329.1389
Theft of Bicycle,10/1/2013,291.62766
Theft of Bicycle,11/1/2013,192.66574
Theft of Bicycle,12/1/2013,86.85975
Theft of Vehicle,1/1/2012,130.95009
Theft of Vehicle,2/1/2012,111.8058
Theft of Vehicle,3/1/2012,124.76268
Theft of Vehicle,4/1/2012,116.11836
Theft of Vehicle,5/1/2012,118.12918
Theft of Vehicle,6/1/2012,121.776596
Theft of Vehicle,7/1/2012,123.984535
Theft of Vehicle,8/1/2012,123.85188
Theft of Vehicle,9/1/2012,117.86671
Theft of Vehicle,10/1/2012,129.59312
Theft of Vehicle,11/1/2012,120.15218
Theft of Vehicle,12/1/2012,118.1136
Theft of Vehicle,1/1/2013,109.07364
Theft of Vehicle,2/1/2013,77.35109
Theft of Vehicle,3/1/2013,109.101845
Theft of Vehicle,4/1/2013,101.08617
Theft of Vehicle,5/1/2013,124.77377
Theft of Vehicle,6/1/2013,108.08796
Theft of Vehicle,7/1/2013,104.39098
Theft of Vehicle,8/1/2013,123.05774
Theft of Vehicle,9/1/2013,130.22275
Theft of Vehicle,10/1/2013,112.94525
Theft of Vehicle,11/1/2013,97.27782
Theft of Vehicle,12/1/2013,84.24949
Vehicle Collision or Pedestrian Struck (with Injury),1/1/2012,144.04654
Vehicle Collision or Pedestrian Struck (with Injury),2/1/2012,131.5212
Vehicle Collision or Pedestrian Struck (with Injury),3/1/2012,149.9687
Vehicle Collision or Pedestrian Struck (with Injury),4/1/2012,146.20482
Vehicle Collision or Pedestrian Struck (with Injury),5/1/2012,155.16821
Vehicle Collision or Pedestrian Struck (with Injury),6/1/2012,144.0482
Vehicle Collision or Pedestrian Struck (with Injury),7/1/2012,152.29153
Vehicle Collision or Pedestrian Struck (with Injury),8/1/2012,159.43053
Vehicle Collision or Pedestrian Struck (with Injury),9/1/2012,156.62646
Vehicle Collision or Pedestrian Struck (with Injury),10/1/2012,142.37581
Vehicle Collision or Pedestrian Struck (with Injury),11/1/2012,134.84514
Vehicle Collision or Pedestrian Struck (with Injury),12/1/2012,146.84311
Vehicle Collision or Pedestrian Struck (with Injury),1/1/2013,154.19417
Vehicle Collision or Pedestrian Struck (with Injury),2/1/2013,133.56775
Vehicle Collision or Pedestrian Struck (with Injury),3/1/2013,139.759
Vehicle Collision or Pedestrian Struck (with Injury),4/1/2013,141.1003
Vehicle Collision or Pedestrian Struck (with Injury),5/1/2013,135.0728
Vehicle Collision or Pedestrian Struck (with Injury),6/1/2013,137.6171
Vehicle Collision or Pedestrian Struck (with Injury),7/1/2013,146.78526
Vehicle Collision or Pedestrian Struck (with Injury),8/1/2013,166.93814
Vehicle Collision or Pedestrian Struck (with Injury),9/1/2013,172.19818
Vehicle Collision or Pedestrian Struck (with Injury),10/1/2013,155.09203
Vehicle Collision or Pedestrian Struck (with Injury),11/1/2013,136.02652
Vehicle Collision or Pedestrian Struck (with Injury),12/1/2013,142.89255
