TYPE,YEAR,MONTH,Month_name,Crime_Count
Theft of Vehicle,2012,10,Oct,104.64390563964844
Theft of Vehicle,2012,11,Nov,103.779541015625
Theft of Vehicle,2012,12,Dec,107.72441101074219
Theft of Vehicle,2013,1,Jan,97.36567687988281
Theft of Vehicle,2013,2,Feb,58.69003677368164
Theft of Vehicle,2013,3,Mar,84.18498992919922
Theft of Vehicle,2013,4,Apr,76.71153259277344
Theft of Vehicle,2013,5,May,90.79094696044922
Theft of Vehicle,2013,6,Jun,89.56536865234375
Theft of Vehicle,2013,7,Jul,79.06010437011719
Theft of Vehicle,2013,8,Aug,87.50676727294922
Theft of Vehicle,2013,9,Sep,99.97688293457031
Theft of Vehicle,2013,10,Oct,95.0584716796875
Theft of Vehicle,2013,11,Nov,76.69975280761719
Theft of Vehicle,2013,12,Dec,60.067283630371094
Vehicle Collision or Pedestrian Struck (with Injury),2012,1,Jan,137.71194458007812
Vehicle Collision or Pedestrian Struck (with Injury),2012,2,Feb,120.44974517822266
Vehicle Collision or Pedestrian Struck (with Injury),2012,3,Mar,138.1052703857422
Vehicle Collision or Pedestrian Struck (with Injury),2012,4,Apr,133.64706420898438
Vehicle Collision or Pedestrian Struck (with Injury),2012,5,May,147.6007080078125
Vehicle Collision or Pedestrian Struck (with Injury),2012,6,Jun,143.88331604003906
Vehicle Collision or Pedestrian Struck (with Injury),2012,7,Jul,155.35714721679688
Vehicle Collision or Pedestrian Struck (with Injury),2012,8,Aug,158.70285034179688
Vehicle Collision or Pedestrian Struck (with Injury),2012,9,Sep,158.4496612548828
Vehicle Collision or Pedestrian Struck (with Injury),2012,10,Oct,145.5875244140625
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,Nov,133.8518829345703
Vehicle Collision or Pedestrian Struck (with Injury),2012,12,Dec,133.1418914794922
Vehicle Collision or Pedestrian Struck (with Injury),2013,1,Jan,137.30941772460938
Vehicle Collision or Pedestrian Struck (with Injury),2013,2,Feb,118.2183609008789
Vehicle Collision or Pedestrian Struck (with Injury),2013,3,Mar,122.29235076904297
Vehicle Collision or Pedestrian Struck (with Injury),2013,4,Apr,130.56893920898438
Vehicle Collision or Pedestrian Struck (with Injury),2013,5,May,126.65011596679688
Vehicle Collision or Pedestrian Struck (with Injury),2013,6,Jun,135.29644775390625
Vehicle Collision or Pedestrian Struck (with Injury),2013,7,Jul,139.29058837890625
Vehicle Collision or Pedestrian Struck (with Injury),2013,8,Aug,155.48403930664062
Vehicle Collision or Pedestrian Struck (with Injury),2013,9,Sep,167.89862060546875
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,Oct,155.27407836914062
Vehicle Collision or Pedestrian Struck (with Injury),2013,11,Nov,130.742919921875
Vehicle Collision or Pedestrian Struck (with Injury),2013,12,Dec,142.0969696044922
